Date,Open,High,Low,Close,Volume
1640368800000,51112.83000000,51638.00000000,51072.16000000,51600.48000000,1861.91217000
1640372400000,51600.47000000,51810.00000000,51083.58000000,51126.40000000,1935.07156000
1640376000000,51126.40000000,51236.15000000,50773.90000000,51109.18000000,1640.57091000
1640379600000,51109.17000000,51135.26000000,50847.84000000,50876.44000000,598.85044000
1640383200000,50876.44000000,50955.53000000,50570.16000000,50760.55000000,1001.76155000
1640386800000,50760.55000000,50890.01000000,50500.00000000,50820.00000000,1032.09337000
1640390400000,50819.99000000,51066.32000000,50600.00000000,51045.25000000,744.53471000
1640394000000,51045.25000000,51090.00000000,50850.00000000,50992.54000000,594.85161000
1640397600000,50992.55000000,51131.25000000,50768.42000000,50768.43000000,663.28411000
1640401200000,50768.42000000,50932.49000000,50700.19000000,50844.14000000,533.43132000
1640404800000,50844.13000000,51054.69000000,50800.79000000,50886.42000000,600.63354000
1640408400000,50886.42000000,51010.42000000,50858.56000000,50886.99000000,484.58350000
1640412000000,50886.99000000,50986.23000000,50656.43000000,50965.88000000,640.70759000
1640415600000,50965.89000000,51084.13000000,50822.17000000,50919.17000000,782.58942000
1640419200000,50919.18000000,50968.57000000,50789.00000000,50886.35000000,643.88073000
1640422800000,50886.35000000,51009.29000000,50802.00000000,50807.40000000,531.81890000
1640426400000,50807.39000000,50841.37000000,50555.00000000,50645.41000000,921.06352000
1640430000000,50645.41000000,50816.32000000,50583.15000000,50682.97000000,537.97712000
1640433600000,50682.97000000,50934.78000000,50682.96000000,50802.76000000,594.23214000
1640437200000,50802.76000000,50900.00000000,50631.55000000,50847.48000000,1030.35323000
1640440800000,50847.48000000,50865.55000000,50650.00000000,50744.90000000,688.75155000
1640444400000,50744.89000000,50815.54000000,50650.00000000,50659.91000000,848.68752000
1640448000000,50659.91000000,50765.32000000,50444.70000000,50600.02000000,1358.02780000
1640451600000,50600.02000000,50849.00000000,50142.32000000,50781.75000000,2036.45313000
1640455200000,50781.74000000,51156.23000000,50705.64000000,50986.34000000,1095.36984000
1640458800000,50986.35000000,51062.10000000,50816.86000000,50889.15000000,477.80948000
1640462400000,50889.15000000,50995.75000000,50732.58000000,50852.83000000,549.51431000
1640466000000,50852.83000000,51080.00000000,50820.93000000,50960.01000000,677.25602000
1640469600000,50960.01000000,50970.48000000,50554.46000000,50609.58000000,797.96415000
1640473200000,50609.59000000,50691.17000000,50335.67000000,50399.66000000,1301.74089000
1640476800000,50399.67000000,50561.34000000,50255.00000000,50378.41000000,1605.46199000
1640480400000,50378.41000000,50672.93000000,50314.66000000,50523.25000000,913.48694000
1640484000000,50523.26000000,50557.87000000,49800.00000000,50028.50000000,1962.59558000
1640487600000,50028.49000000,50028.50000000,49610.00000000,49675.56000000,1885.43297000
1640491200000,49675.56000000,49884.71000000,49600.95000000,49867.65000000,861.16017000
1640494800000,49867.65000000,49977.07000000,49800.00000000,49862.63000000,626.04398000
1640498400000,49862.64000000,49961.51000000,49804.58000000,49904.96000000,475.21303000
1640502000000,49904.96000000,49974.98000000,49716.17000000,49930.39000000,545.66501000
1640505600000,49930.39000000,50089.93000000,49826.01000000,49881.98000000,742.58404000
1640509200000,49881.97000000,50169.17000000,49840.20000000,50012.60000000,772.37161000
1640512800000,50012.61000000,50104.00000000,49924.02000000,50079.99000000,720.51634000
1640516400000,50080.00000000,50125.00000000,49412.00000000,49748.89000000,1463.81011000
1640520000000,49748.89000000,49964.28000000,49642.11000000,49870.53000000,756.26845000
1640523600000,49870.52000000,49984.00000000,49765.20000000,49841.99000000,633.77758000
1640527200000,49842.00000000,49950.00000000,49732.01000000,49901.56000000,618.67657000
1640530800000,49901.57000000,50281.08000000,49900.74000000,50049.34000000,949.75752000
1640534400000,50049.34000000,50400.00000000,50018.38000000,50240.53000000,854.58314000
1640538000000,50240.53000000,50386.00000000,50166.08000000,50255.17000000,731.04697000
1640541600000,50255.17000000,50399.00000000,50139.07000000,50351.10000000,650.75879000
1640545200000,50351.10000000,50465.54000000,50212.83000000,50342.51000000,643.89318000
1640548800000,50342.51000000,50382.61000000,50265.97000000,50269.44000000,387.96160000
1640552400000,50269.44000000,51040.00000000,49914.73000000,50774.16000000,1890.38608000
1640556000000,50776.16000000,51280.00000000,50772.00000000,50973.64000000,1221.97065000
1640559600000,50973.65000000,51062.04000000,50638.16000000,50775.49000000,656.46684000
1640563200000,50775.48000000,50974.97000000,50567.60000000,50622.87000000,1018.69342000
1640566800000,50622.86000000,50816.31000000,50449.00000000,50787.94000000,819.30551000
1640570400000,50787.93000000,50940.01000000,50669.04000000,50816.24000000,804.44240000
1640574000000,50816.19000000,51150.00000000,50791.07000000,51009.02000000,1109.63762000
1640577600000,51009.02000000,51093.86000000,50870.96000000,51001.51000000,1079.85491000
1640581200000,51001.52000000,51020.00000000,50832.72000000,50853.02000000,747.07122000
1640584800000,50853.03000000,50974.82000000,50730.53000000,50935.93000000,808.85343000
1640588400000,50935.94000000,50985.39000000,50631.00000000,50694.83000000,953.99767000
1640592000000,50694.83000000,50846.63000000,50555.00000000,50555.01000000,873.45815000
1640595600000,50555.00000000,50772.47000000,50499.77000000,50755.87000000,1077.65448000
1640599200000,50755.87000000,50900.00000000,50675.32000000,50791.11000000,854.73514000
1640602800000,50791.10000000,50875.41000000,50666.01000000,50759.45000000,917.20694000
1640606400000,50759.46000000,51200.00000000,50567.07000000,51118.83000000,1798.24962000
1640610000000,51118.84000000,51400.00000000,50979.83000000,51300.00000000,1689.50450000
1640613600000,51299.99000000,51677.00000000,51210.00000000,51502.54000000,1970.71236000
1640617200000,51502.55000000,51655.05000000,51366.00000000,51450.57000000,1137.10818000
1640620800000,51450.58000000,51519.97000000,51210.00000000,51468.00000000,1233.70476000
1640624400000,51468.00000000,52088.00000000,51441.67000000,51853.10000000,2306.06183000
1640628000000,51853.10000000,51932.00000000,51626.55000000,51690.69000000,1296.17810000
1640631600000,51690.68000000,51713.64000000,51200.00000000,51204.64000000,1297.91680000
1640635200000,51204.65000000,51365.76000000,50906.32000000,51225.88000000,1432.38555000
1640638800000,51225.88000000,51298.68000000,50940.00000000,50975.61000000,1083.41873000
1640642400000,50975.60000000,51230.43000000,50702.01000000,51020.06000000,1234.48078000
1640646000000,51020.05000000,51057.68000000,50622.00000000,50701.44000000,1234.95002000
1640649600000,50701.44000000,50704.05000000,50029.62000000,50350.23000000,2914.41578000
1640653200000,50350.22000000,50350.23000000,49580.34000000,49818.63000000,2830.99927000
1640656800000,49818.62000000,49966.06000000,49581.00000000,49775.31000000,1759.24183000
1640660400000,49775.31000000,49889.58000000,49500.00000000,49828.06000000,1863.06312000
1640664000000,49828.07000000,49828.07000000,48657.12000000,49054.47000000,4642.00877000
1640667600000,49050.58000000,49243.73000000,48950.00000000,49200.90000000,1407.13684000
1640671200000,49200.90000000,49343.98000000,49096.67000000,49218.49000000,1104.01703000
1640674800000,49218.49000000,49366.00000000,49037.23000000,49227.13000000,1009.49151000
1640678400000,49227.14000000,49440.05000000,49113.70000000,49377.69000000,1350.82236000
1640682000000,49377.69000000,49444.46000000,49000.00000000,49027.44000000,1526.39111000
1640685600000,49027.44000000,49172.49000000,48755.32000000,49034.57000000,3495.57867000
1640689200000,49034.56000000,49240.08000000,48897.22000000,49200.39000000,1185.66446000
1640692800000,49200.39000000,49371.18000000,49077.64000000,49100.37000000,961.44955000
1640696400000,49100.37000000,49284.00000000,48974.24000000,49024.57000000,1357.31811000
1640700000000,49024.56000000,49155.92000000,48301.88000000,49078.29000000,3094.23155000
1640703600000,49078.29000000,49235.95000000,48890.01000000,48937.48000000,1095.28378000
1640707200000,48937.47000000,48974.85000000,48124.00000000,48627.97000000,2568.18511000
1640710800000,48627.97000000,48645.23000000,47650.35000000,48030.43000000,3337.20207000
1640714400000,48030.43000000,48033.04000000,47600.00000000,47792.71000000,1649.24949000
1640718000000,47800.31000000,47813.04000000,47313.01000000,47689.46000000,2058.32621000
1640721600000,47689.46000000,48142.78000000,47567.34000000,47804.60000000,1648.54449000
1640725200000,47804.59000000,47850.00000000,47482.14000000,47556.25000000,986.60873000
1640728800000,47556.25000000,47761.21000000,47320.00000000,47680.81000000,1176.87984000
1640732400000,47680.81000000,47803.51000000,47507.84000000,47543.74000000,831.22956000
1640736000000,47543.74000000,47851.92000000,47450.01000000,47770.12000000,1052.52366000
1640739600000,47770.11000000,47973.90000000,47691.76000000,47735.13000000,1102.03536000
1640743200000,47735.13000000,48046.02000000,47659.06000000,47987.57000000,1430.83279000
1640746800000,47989.91000000,48139.08000000,47895.18000000,48001.01000000,1290.96759000
1640750400000,48001.01000000,48056.28000000,47767.44000000,47780.00000000,1155.15633000
1640754000000,47780.00000000,47914.93000000,47750.00000000,47898.65000000,891.54873000
1640757600000,47898.64000000,47981.24000000,47748.00000000,47851.90000000,776.08095000
1640761200000,47851.90000000,47872.14000000,47522.89000000,47570.03000000,1045.12364000
1640764800000,47570.03000000,47839.63000000,47505.00000000,47722.20000000,1177.77960000
1640768400000,47722.19000000,48092.10000000,47398.46000000,47936.20000000,2298.02924000
1640772000000,47936.20000000,47984.88000000,47600.00000000,47696.80000000,1292.49974000
1640775600000,47696.79000000,47760.00000000,47500.37000000,47737.95000000,1092.75996000
1640779200000,47737.96000000,47777.77000000,46661.00000000,46824.23000000,4248.68643000
1640782800000,46824.23000000,47458.92000000,46586.62000000,47402.65000000,2455.36215000
1640786400000,47402.65000000,47888.92000000,47239.60000000,47826.00000000,3243.86459000
1640790000000,47826.00000000,48030.05000000,47721.71000000,47959.36000000,2180.51068000
1640793600000,47959.36000000,48038.92000000,47603.00000000,47727.43000000,1474.70054000
1640797200000,47727.44000000,47737.33000000,47522.92000000,47694.78000000,723.67891000
